"sample_id","collection_date","bcov_recovery","bcov_recovery_lci","bcov_recovery_uci","city","state","name","site_name","sewershed_pop","state_abbr","N_Gene_gc_g_dry_weight","N_Gene_gc_g_dry_weight_lci","N_Gene_gc_g_dry_weight_uci"
"COD110086","2021-09-28",1.122,1.062,1.183,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",10282.204769185186,6195.143416888888,13997.39671703704
"COD110084","2021-09-29",1.203,1.153,1.262,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",10175.919046530613,7477.9111510204075,13407.790737414965
"COD110089","2021-09-30",1.05,1.002,1.11,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",9913.636699151515,6372.766060606061,14573.19404218182
"COD110094","2021-10-01",1.087,1.043,1.131,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",3989.5846234304217,2446.3979940453078,6076.189692686085
"COD110093","2021-10-02",1.145,1.065,1.21,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11289.766630400001,6490.2118848,16247.453689599999
"COD110087","2021-10-04",0.712,0.48,0.924,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110083","2021-10-05",1.379,1.293,1.454,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110078","2021-10-06",1.358,1.28,1.443,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",9930.926025820107,4957.812488465609,15070.514074074077
"COD110091","2021-10-07",0.888,0.83,0.938,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110092","2021-10-08",1.243,1.2,1.286,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110081","2021-10-09",1.031,0.981,1.083,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110082","2021-10-11",0.793,0.746,0.84,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110077","2021-10-12",1.024,0.965,1.085,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110079","2021-10-13",0.738,0.71,0.768,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",5133.474614237289,2947.8824063276843,8199.50117242938
"COD110090","2021-10-14",1.177,1.127,1.226,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110073","2021-10-15",0.855,0.793,0.921,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",2320.501338720539,677.6182639191919,3972.7242311111113
"COD110074","2021-10-16",1.118,1.063,1.167,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",32185.55755897436,24232.080348717955,39530.31698461539
"COD110076","2021-10-18",0.689,0.637,0.746,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110159","2021-10-19",0.94,0.875,1.014,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110080","2021-10-20",0.814,0.773,0.853,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110085","2021-10-21",0.651,0.626,0.676,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110075","2021-10-22",1.103,1.047,1.167,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",8363.232529655173,5376.127602758621,12294.063622988508
"COD110195","2021-10-23",0.979,0.945,1.013,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",6602.160442051284,3897.981766153847,9165.543776410257
"COD110202","2021-10-25",0.905,0.87,0.939,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110203","2021-10-26",0.656,0.542,0.768,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",3744.4175460392153,1945.8372216470586,6410.50104972549
"COD110216","2021-10-27",0.908,0.874,0.942,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110217","2021-10-28",1.408,1.32,1.497,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",13543.79070040816,5844.080124081633,20705.53610884354
"COD110205","2021-10-29",2.621,2.482,2.761,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",8437.66265457778,5497.609244444446,11584.082709333336
"COD110191","2021-10-30",0.897,0.829,0.964,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",12944.716327044025,9082.80168654088,17771.83784654088
"COD110178","2021-11-01",0.936,0.867,1.008,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",31987.84810370371,24440.796281481482,39732.266355555555
"COD110157","2021-11-02",1.315,1.192,1.438,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",10885.131770114946,8034.0548033716495,14342.240441379316
"COD110212","2021-11-03",0.665,0.616,0.714,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110208","2021-11-04",0.867,0.762,0.983,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",8360.829618242045,5374.581615130099,12290.533383687343
"COD110209","2021-11-05",0.669,0.608,0.734,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4786.538921929663,0,9919.342651865853
"COD110199","2021-11-06",0.5,0.448,0.555,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",7392.07692505747,4532.79175908046,11258.233552183907
"COD110211","2021-11-08",1.141,1.075,1.207,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",17839.016488262914,13173.89470347418,22677.045468544606
"COD110198","2021-11-09",0.842,0.78,0.903,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",13730.719884799999,10134.30701368889,18091.602332444443
"COD110161","2021-11-10",1.223,1.143,1.304,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4664.694468266666,1537.4867114666665,7450.745371022223
"COD110182","2021-11-11",1.247,1.186,1.308,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110186","2021-11-12",0.939,0.881,0.997,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",153991.9273846154,139894.8114871795,168248.47822222227
"COD110189","2021-11-13",0.975,0.904,1.046,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",134585.56312056739,121194.47421276597,147977.99126241138
"COD110188","2021-11-15",0.857,0.802,0.912,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",53180.563034482766,45137.19163218391,62128.46164597702
"COD110204","2021-11-16",0.89,0.825,0.95,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",89491.14606013073,79983.93563398693,98439.37244444445
"COD110173","2021-11-17",0.839,0.783,0.895,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",38913.17736296297,33166.696994238686,45288.274317695475
"COD110201","2021-11-18",0.819,0.755,0.878,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",30897.19537777778,24575.93735873016,38743.41646984127
"COD110197","2021-11-19",0.719,0.67,0.78,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",29014.947038383838,24121.237925925925,34263.9480026936
"COD110149","2021-11-20",0.709,0.662,0.756,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",101816.4391372549,91681.5645490196,113674.59388235294
"COD110183","2021-11-22",0.807,0.756,0.858,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",23996.00192688172,19791.09804731183,29011.28030967742
"COD110169","2021-11-23",1.112,1.046,1.178,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11940.676557803921,8813.121272470586,15733.038205490195
"COD110160","2021-11-24",1.268,1.16,1.387,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4817.282160123186,2215.834210316347,7694.473862648013
"COD110151","2021-11-25",1.474,1.345,1.597,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",224608.93999066245,203332.24848697125,241441.4087931312
"COD110179","2021-11-26",0.867,0.811,0.923,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",13515.833652892563,10650.33001432507,16854.516072727274
"COD110156","2021-11-27",0.919,0.754,1.107,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",35590.875962724014,21823.213086738353,54208.64269534051
"COD110210","2021-11-29",0.902,0.849,0.955,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",42872.00798024692,35132.26391111111,50287.63523950617
"COD110192","2021-11-30",0.741,0.692,0.79,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",16289.827999999998,12437.690186666669,20866.460266666665
"COD110167","2021-12-01",1.038,0.958,1.122,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",18061.57480634921,13335.263287195768,23331.990315343915
"COD110180","2021-12-02",1.049,0.884,1.193,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",122886.81889923532,107815.07536838866,138534.13398277038
"COD110168","2021-12-03",0.876,0.793,0.946,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",14258.63720696682,10018.46035824547,18624.084408273146
"COD110214","2021-12-04",0.692,0.629,0.75,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",56291.370857052745,48321.31300515278,64042.64961800922
"COD110172","2021-12-06",0.909,0.842,0.979,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",28811.870482051287,18344.053852991452,39051.773196581205
"COD110162","2021-12-07",0.894,0.839,0.958,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",127875.66165596708,111853.2973563786,139744.82528395063
"COD110170","2021-12-08",0.972,0.916,1.028,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",198148.14392694068,183461.05424657534,212836.48759817355
"COD110148","2021-12-09",0.659,0.607,0.716,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",392650.853807681,370855.9077848154,414188.27805563714
"COD110181","2021-12-10",0.883,0.811,0.953,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",82391.8524242583,74664.62680271696,90300.3272556123
"COD110166","2021-12-11",0.733,0.686,0.78,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",30726.901267836256,26430.629146198833,35465.616926315786
"COD110206","2021-12-13",0.598,0.554,0.643,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",22637.040139130433,19287.802743961354,26345.635385507245
"COD110215","2021-12-14",0.645,0.541,0.74,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",15888.67397799353,12599.547702265374,19864.796820711977
"COD110200","2021-12-15",0.748,0.692,0.805,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",17574.86660740741,13805.687869629632,21687.705434074076
"COD110213","2021-12-16",0.8,0.746,0.853,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",30324.45383736264,25497.219938461538,35726.372571428576
"COD110196","2021-12-17",0.878,0.81,0.944,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",7404.792215813954,5075.944948837209,10356.63138976744
"COD110187","2021-12-18",1.289,1.171,1.401,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",23476.348197647058,18364.752978823526,28792.358851764704
"COD110164","2021-12-20",1.094,1.003,1.179,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",66787.946169863,56608.73133881279,77617.14882922375
"COD110154","2021-12-21",0.892,0.841,0.943,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",9513.612022857144,7097.175575619047,12180.941447619047
"COD110163","2021-12-22",0.662,0.621,0.707,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11494.239171084339,7717.825322409639,15334.412748594377
"COD110174","2021-12-23",1.408,1.242,1.572,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4349.644979047619,2660.0942727619044,6083.580993523809
"COD110152","2021-12-24",0.954,0.893,1.015,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",43430.31260592882,37630.40169539862,50536.56817139342
"COD110153","2021-12-25",0.838,0.774,0.911,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",124057.97101449277,112347.82608695653,134492.75362318842
"COD110207","2021-12-27",0.862,0.797,0.926,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",845555.5555555556,805555.5555555556,882222.2222222224
"COD110147","2021-12-28",0.61,0.566,0.651,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",144630.61384126983,132563.590984127,157283.37422222222
"COD110155","2021-12-29",1.311,1.243,1.379,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",168976.89768976896,157359.73597359736,180594.05940594058
"COD110177","2021-12-30",1.245,1.175,1.332,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",322570.281124498,296867.46987951803,349558.23293172696
"COD110194","2021-12-31",1.045,0.961,1.124,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",577132.2788336345,537121.7385316513,612999.158027845
"COD110176","2022-01-01",1.125,1.051,1.223,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",726062.4904258572,683211.8614047185,767784.6871170347
"COD110193","2022-01-02",1.005,0.957,1.053,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",593216.3742690058,565146.1988304093,621286.5497076022
"COD110171","2022-01-03",0.972,0.883,1.061,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",676074.0800337358,598122.2441702178,741218.058268229
"COD110158","2022-01-04",0.668,0.63,0.706,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",475719.20415584417,453753.9791515152,499596.1044502164
"COD110165","2022-01-05",0.811,0.764,0.858,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",554084.3337142856,528223.5928042328,579948.5060740742
"COD110185","2022-01-06",1.109,1.006,1.2,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",552258.064516129,514408.60215053766,593548.3870967742
"COD110190","2022-01-07",0.905,0.797,1.009,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",235447.15447154472,212032.5203252032,258861.78861788614
"COD110184","2022-01-09",1.067,0.991,1.148,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",317516.9808761905,292788.71451428573,346615.45523809525
"COD110175","2022-01-10",0.591,0.538,0.634,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",259035.29219047623,233863.99405714285,281606.1110857143
"COD110054","2022-01-11",1.253,1.175,1.344,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",79761.19402985074,65273.631840796006,91064.6766169154
"COD110057","2022-01-12",1.755,1.65,1.866,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",121062.20932413795,111210.64402145596,130914.44695785444
"COD110069","2022-01-13",1.189,1.103,1.265,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",116925.24604081632,107380.65290884353,126297.08789115645
"COD110067","2022-01-14",2.9,2.595,3.203,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",311226.11360000004,286318.42933333333,337216.9812
"COD110052","2022-01-15",0.715,0.669,0.758,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",111065.29209621991,99079.03780068728,124261.16838487971
"COD110068","2022-01-17",1.265,1.178,1.349,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",409043.4782608696,381217.39130434784,449855.0724637681
"COD110070","2022-01-18",1.867,1.751,1.995,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",142392.42224113474,131629.0104964539,154264.20663829785
"COD110051","2022-01-19",1.888,1.779,1.997,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",352705.0200380953,301246.8611047619,393256.5234285714
"COD110058","2022-01-20",1.475,1.362,1.576,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",306127.6486045431,278707.82216390036,333392.5949899776
"COD110053","2022-01-21",1.543,1.442,1.641,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",170706.43107096382,156330.87561874793,185083.03606951618
"COD110064","2022-01-22",1.115,1.048,1.184,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",91331.65854814816,80587.25169382716,102992.87018271605
"COD110071","2022-01-24",1.476,1.384,1.568,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",39924.997751111114,35085.53504888889,45190.44558222222
"COD110065","2022-01-25",1.53,1.441,1.619,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",41854.34598208955,33697.050013930355,49523.04517412936
"COD110050","2022-01-26",1.73,1.638,1.825,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",103012.27570285715,92765.0905752381,114873.04143238095
"COD110059","2022-01-27",1.532,1.445,1.619,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",122080.95756736968,110545.7855774475,133616.9199900584
"COD110048","2022-01-28",2.89,2.717,3.063,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",205477.5873777778,189383.95182222224,221572.4520888889
"COD110055","2022-01-29",1.907,1.76,2.045,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",35764.570087619046,30959.338229841273,41043.617615238094
"COD110049","2022-01-31",1.464,1.37,1.557,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",184077.65785858585,169244.8240808081,198911.62828282831
"COD110060","2022-02-01",1.256,1.166,1.355,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",105632.44220689657,98200.42537931034,113064.96321839081
"COD110042","2022-02-02",1.133,1.078,1.19,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",33604.10757723578,29019.818397831972,38402.80289647696
"COD110046","2022-02-03",0.792,0.724,0.852,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",36161.459405128204,30662.304317948718,41939.05072820513
"COD110072","2022-02-04",1.014,0.942,1.094,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",62306.95715068494,53105.75494429224,71685.690856621
"COD110066","2022-02-05",1.001,0.939,1.063,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",34894.45416752137,29339.749593162396,41110.450379487185
"COD110045","2022-02-07",1.013,0.943,1.082,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",27059.06996363636,21941.213894372297,32592.703251948056
"COD110041","2022-02-08",0.996,0.899,1.094,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",117254.46362597404,104154.6445852814,129306.03357922078
